player,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca
Aaron Hickey,5,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Aaron Ramsdale,3,1,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Aaron Wan-Bissaka,28,18,10,17,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0
Abdukodir Khusanov,10,3,7,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Adam Armstrong,7,6,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adam Smith,9,5,4,5,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
Adam Wharton,69,43,26,42,0,0,0,1,0,0,0,24,0,0,0,1,1,0,0
Adama Traoré,8,3,5,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0
Adrien Truffert,52,31,21,28,2,0,1,0,0,0,0,18,1,1,0,1,0,0,0
Alejandro Garnacho,44,28,16,26,0,1,1,0,0,0,0,14,1,0,0,1,0,0,0
Alex Iwobi,75,48,27,44,1,0,3,0,0,0,0,27,0,0,0,0,0,0,0
Alex Scott,53,25,28,20,0,5,0,0,0,0,0,26,1,0,0,1,0,0,0
Alex Tóth,6,4,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alexander Isak,6,3,3,1,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0
Alexis Mac Allister,65,40,25,35,0,3,2,0,0,0,0,23,1,1,0,0,0,0,0
Alisson Becker,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Alphonse Areola,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Altay Bayindir,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alysson,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Amad Diallo,83,52,31,44,0,0,8,0,0,0,0,25,1,2,0,3,0,0,0
Amadou Onana,21,7,14,6,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0
Amine Adli,27,15,12,13,1,1,0,0,0,0,0,12,0,0,0,0,0,0,0
Andrey Santos,20,7,13,7,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0
André,38,19,19,19,0,0,0,0,0,0,0,17,1,1,0,0,0,0,0
Andrés García,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Andy Irving,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Robertson,36,21,15,20,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0
Angel Gomes,10,4,6,4,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
Anthony Elanga,31,15,16,14,0,0,1,0,0,0,0,14,0,0,0,2,0,0,0
Anthony Gordon,44,30,14,26,0,2,2,0,0,0,0,11,0,1,0,2,0,0,0
Antoine Semenyo,72,45,27,37,0,0,8,0,0,0,0,25,0,0,0,2,0,0,0
Anton Stach,83,62,21,58,2,0,1,1,0,0,0,20,1,0,0,0,0,0,0
Antonee Robinson,40,22,18,20,0,1,1,0,0,0,0,15,0,0,0,3,0,0,0
Antoni Milambo,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ao Tanaka,29,21,8,20,0,0,1,0,0,0,0,6,0,0,0,2,0,0,0
Archie Gray,20,8,12,6,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0
