teamName,teamId,goalsScored,averageBallPossession
Arsenal,42,71,56.13
Leeds United,34,49,45.74
Brighton & Hove Albion,30,52,54.08
Brentford,50,55,47.61
Sunderland,41,42,44.84
Bournemouth,60,58,50.18
Aston Villa,40,56,53.55
Nottingham Forest,14,48,46.76
Wolverhampton,3,27,42.82
Manchester City,17,77,60.5
Fulham,43,47,51.71
West Ham United,37,46,42.53
Tottenham Hotspur,33,48,50.37
Crystal Palace,7,41,45.92
Manchester United,35,69,51.79
Chelsea,38,58,57.74
Burnley,6,38,42.29
Everton,48,47,43.63
Newcastle United,39,53,52.61
Liverpool FC,44,63,59.21
