,id,name,team_name,team_id,position,positions_detailed,weight,height,dob,preferred_foot,country,contract_until,market_value,market_value_currency
0,839956,Erling Haaland,Manchester City,17,F,['ST'],,195.0,2000-07-21 00:00:00+00:00,Left,Norway,2034-06-30 00:00:00+00:00,240000000.0,EUR
1,159665,Mohamed Salah,Trabzonspor,3051,M,['RW'],,175.0,1992-06-15 00:00:00+00:00,Left,Egypt,2028-06-30 00:00:00+00:00,21000000.0,EUR
2,982780,Cole Palmer,Chelsea,38,M,['AM'],,185.0,2002-05-06 00:00:00+00:00,Left,England,2033-06-30 00:00:00+00:00,92000000.0,EUR
3,288205,Bruno Fernandes,Manchester United,35,M,"['AM', 'MC', 'DM']",65.0,179.0,1994-09-08 00:00:00+00:00,Right,Portugal,2027-06-30 00:00:00+00:00,32000000.0,EUR
4,873554,Omar Marmoush,Tottenham Hotspur,33,F,['ST'],,183.0,1999-02-07 00:00:00+00:00,Right,Egypt,2027-06-30 00:00:00+00:00,55000000.0,EUR
5,1597265,Estêvão,Chelsea,38,M,['RW'],,176.0,2007-04-24 00:00:00+00:00,Left,Brazil,2033-06-30 00:00:00+00:00,82000000.0,EUR
6,804508,Viktor Gyökeres,Arsenal,42,F,['ST'],86.0,187.0,1998-06-04 00:00:00+00:00,Right,Sweden,2030-06-30 00:00:00+00:00,61000000.0,EUR
7,934235,Bukayo Saka,Arsenal,42,F,['RW'],,178.0,2001-09-05 00:00:00+00:00,Left,England,2030-06-30 00:00:00+00:00,115000000.0,EUR
8,827606,Rodri,FC Barcelona,2817,M,"['DM', 'MC']",78.0,191.0,1996-06-22 00:00:00+00:00,Right,Spain,2030-06-30 00:00:00+00:00,50000000.0,EUR
9,859765,Phil Foden,Manchester City,17,M,"['AM', 'RW']",70.0,171.0,2000-05-28 00:00:00+00:00,Left,England,2030-06-30 00:00:00+00:00,66000000.0,EUR
10,1019322,Florian Wirtz,Liverpool FC,44,M,"['AM', 'LW']",,175.0,2003-05-03 00:00:00+00:00,Right,Germany,2030-06-30 00:00:00+00:00,95000000.0,EUR
11,974505,Enzo Fernández,Chelsea,38,M,"['MC', 'DM', 'AM']",,177.0,2001-01-17 00:00:00+00:00,Right,Argentina,2032-06-30 00:00:00+00:00,97000000.0,EUR
12,975079,João Pedro,Chelsea,38,F,"['ST', 'AM']",,182.0,2001-09-26 00:00:00+00:00,Right,Brazil,2034-06-30 00:00:00+00:00,74000000.0,EUR
13,1135873,Alejandro Garnacho,Aston Villa,40,F,"['LW', 'AM']",,180.0,2004-07-01 00:00:00+00:00,Right,Argentina,2027-06-30 00:00:00+00:00,26000000.0,EUR
14,927083,Bryan Mbeumo,Manchester United,35,F,"['RW', 'AM']",,173.0,1999-08-07 00:00:00+00:00,Left,Cameroon,2030-06-30 00:00:00+00:00,73000000.0,EUR
15,971037,Amad Diallo,Manchester United,35,M,"['RW', 'AM', 'MR']",,173.0,2002-07-11 00:00:00+00:00,Left,Côte d'Ivoire,2030-06-30 00:00:00+00:00,44000000.0,EUR
16,934354,Antoine Semenyo,Manchester City,17,M,"['LW', 'RW']",,185.0,2000-01-07 00:00:00+00:00,Right,Ghana,2031-06-30 00:00:00+00:00,85000000.0,EUR
17,794939,Marc Cucurella,Real Madrid,2829,D,['DL'],68.0,175.0,1998-07-22 00:00:00+00:00,Left,Spain,2032-06-30 00:00:00+00:00,62000000.0,EUR
18,914902,Anthony Gordon,FC Barcelona,2817,F,['LW'],,183.0,2001-02-24 00:00:00+00:00,Right,England,2031-06-30 00:00:00+00:00,82000000.0,EUR
19,1194333,Abdukodir Khusanov,Manchester City,17,D,"['DC', 'DR']",,186.0,2004-02-29 00:00:00+00:00,Right,Uzbekistan,2031-06-30 00:00:00+00:00,47000000.0,EUR
20,331209,Bernardo Silva,Real Madrid,2829,M,"['MC', 'DM']",,173.0,1994-08-10 00:00:00+00:00,Left,Portugal,2028-06-30 00:00:00+00:00,21000000.0,EUR
21,823941,Alexander Isak,Liverpool FC,44,F,['ST'],74.0,193.0,1999-09-21 00:00:00+00:00,Right,Sweden,2031-06-30 00:00:00+00:00,88000000.0,EUR
22,122951,Casemiro,Inter Miami CF,337602,M,"['MC', 'DM']",,185.0,1992-02-23 00:00:00+00:00,Right,Brazil,2027-06-30 00:00:00+00:00,5500000.0,EUR
23,979128,Rayan Cherki,Manchester City,17,M,"['AM', 'RW']",,176.0,2003-08-17 00:00:00+00:00,Both,France,2030-06-30 00:00:00+00:00,98000000.0,EUR
24,1048422,Hugo Ekitiké,Liverpool FC,44,F,['ST'],,190.0,2002-06-20 00:00:00+00:00,Right,France,2031-06-30 00:00:00+00:00,77000000.0,EUR
25,151545,Virgil van Dijk,Liverpool FC,44,D,['DC'],,195.0,1991-07-08 00:00:00+00:00,Right,Netherlands,2027-06-30 00:00:00+00:00,15500000.0,EUR
26,986397,Benjamin Šeško,Manchester United,35,F,['ST'],,195.0,2003-05-31 00:00:00+00:00,Right,Slovenia,2030-06-30 00:00:00+00:00,78000000.0,EUR
27,905163,Mohammed Kudus,Tottenham Hotspur,33,M,"['RW', 'AM', 'LW']",,176.0,2000-08-02 00:00:00+00:00,Left,Ghana,2031-06-30 00:00:00+00:00,54000000.0,EUR
28,886363,Matheus Cunha,Manchester United,35,F,"['AM', 'ST']",75.0,184.0,1999-05-27 00:00:00+00:00,Right,Brazil,2030-06-30 00:00:00+00:00,79000000.0,EUR
29,869856,Dominik Szoboszlai,Liverpool FC,44,M,"['AM', 'MC', 'DM']",,187.0,2000-10-25 00:00:00+00:00,Right,Hungary,2031-06-30 00:00:00+00:00,91000000.0,EUR
30,934386,Jérémy Doku,Manchester City,17,M,['LW'],,173.0,2002-05-27 00:00:00+00:00,Right,Belgium,2031-06-30 00:00:00+00:00,70000000.0,EUR
31,547410,Martin Ødegaard,Arsenal,42,M,['MC'],66.0,178.0,1998-12-17 00:00:00+00:00,Left,Norway,2028-06-30 00:00:00+00:00,77000000.0,EUR
32,987650,Moisés Caicedo,Chelsea,38,M,"['MC', 'DM']",,178.0,2001-11-02 00:00:00+00:00,Right,Ecuador,2033-06-30 00:00:00+00:00,104000000.0,EUR
33,805123,Yoane Wissa,Newcastle United,39,F,['ST'],,176.0,1996-09-03 00:00:00+00:00,Right,DR Congo,2029-06-30 00:00:00+00:00,23000000.0,EUR
34,895324,Alexis Mac Allister,Liverpool FC,44,M,"['MC', 'DM']",72.0,176.0,1998-12-24 00:00:00+00:00,Right,Argentina,2028-06-30 00:00:00+00:00,77000000.0,EUR
35,158263,Emiliano Martínez,Chelsea,38,G,['GK'],89.0,195.0,1992-09-02 00:00:00+00:00,Right,Argentina,2029-06-30 00:00:00+00:00,11500000.0,EUR
36,856714,Declan Rice,Arsenal,42,M,"['MC', 'DM']",,188.0,1999-01-14 00:00:00+00:00,Right,England,2028-06-30 00:00:00+00:00,114000000.0,EUR
37,836705,Kai Havertz,Arsenal,42,F,"['ST', 'MC']",,193.0,1999-06-11 00:00:00+00:00,Left,Germany,2028-06-30 00:00:00+00:00,53000000.0,EUR
38,794839,Gabriel Jesus,Arsenal,42,F,['ST'],73.0,175.0,1997-04-03 00:00:00+00:00,Right,Brazil,2027-06-30 00:00:00+00:00,17600000.0,EUR
39,922573,Gabriel Martinelli,Arsenal,42,F,['LW'],,180.0,2001-06-18 00:00:00+00:00,Right,Brazil,2027-06-30 00:00:00+00:00,42000000.0,EUR
40,839981,Lucas Paquetá,Flamengo,5981,M,"['AM', 'MC']",,180.0,1997-08-26 00:00:00+00:00,Left,Brazil,,36000000.0,EUR
41,847030,Noussair Mazraoui,Manchester United,35,D,"['DR', 'DL', 'DC', 'MR']",,183.0,1997-11-14 00:00:00+00:00,Right,Morocco,2028-06-30 00:00:00+00:00,17500000.0,EUR
42,243609,Alisson,Liverpool FC,44,G,['GK'],,193.0,1992-10-02 00:00:00+00:00,Right,Brazil,2027-06-30 00:00:00+00:00,16500000.0,EUR
43,824509,Gianluigi Donnarumma,Manchester City,17,G,['GK'],90.0,196.0,1999-02-25 00:00:00+00:00,Right,Italy,2030-06-30 00:00:00+00:00,46000000.0,EUR
44,1110842,Simon Adingra,Sunderland,41,M,"['LW', 'RW']",,175.0,2002-01-01 00:00:00+00:00,Right,Côte d'Ivoire,2030-06-30 00:00:00+00:00,23000000.0,EUR
45,869792,Gabriel Magalhães,Arsenal,42,D,['DC'],78.0,190.0,1997-12-19 00:00:00+00:00,Left,Brazil,2029-06-30 00:00:00+00:00,70000000.0,EUR
46,914309,Iliman Ndiaye,Everton,48,M,"['LW', 'RW']",,180.0,2000-03-06 00:00:00+00:00,Right,Senegal,2029-06-30 00:00:00+00:00,53000000.0,EUR
47,1464966,Rayan,Bournemouth,60,M,"['RW', 'ST']",,185.0,2006-08-03 00:00:00+00:00,Left,Brazil,2031-06-30 00:00:00+00:00,58000000.0,EUR
48,851100,Jadon Sancho,No team,241802,M,"['LW', 'RW']",74.0,180.0,2000-03-25 00:00:00+00:00,Right,England,,17500000.0,EUR
49,864921,Eberechi Eze,Arsenal,42,M,['AM'],67.0,178.0,1998-06-29 00:00:00+00:00,Right,England,2029-06-30 00:00:00+00:00,69000000.0,EUR
50,859999,Lisandro Martínez,Manchester United,35,D,"['DC', 'DL']",77.0,175.0,1998-01-18 00:00:00+00:00,Left,Argentina,2027-06-30 00:00:00+00:00,48000000.0,EUR
51,826215,Ibrahima Konaté,Real Madrid,2829,D,['DC'],84.0,195.0,1999-05-25 00:00:00+00:00,Right,France,2030-06-30 00:00:00+00:00,46000000.0,EUR
52,1142175,Kobbie Mainoo,Manchester United,35,M,"['MC', 'DM']",,184.0,2005-04-19 00:00:00+00:00,Right,England,2031-06-30 00:00:00+00:00,72000000.0,EUR
53,1046795,Sávio,Tottenham Hotspur,33,M,"['LW', 'RW']",,176.0,2004-04-10 00:00:00+00:00,Left,Brazil,2031-06-30 00:00:00+00:00,37000000.0,EUR
54,189061,Jack Grealish,Manchester City,17,M,['LW'],68.0,180.0,1995-09-10 00:00:00+00:00,Right,England,2027-06-30 00:00:00+00:00,21000000.0,EUR
55,862967,Cody Gakpo,Liverpool FC,44,M,['LW'],,193.0,1999-05-07 00:00:00+00:00,Right,Netherlands,2030-06-30 00:00:00+00:00,58000000.0,EUR
56,964994,Joško Gvardiol,Manchester City,17,D,"['DL', 'DC']",,186.0,2002-01-23 00:00:00+00:00,Left,Croatia,2031-06-30 00:00:00+00:00,64000000.0,EUR
57,885908,Reece James,Chelsea,38,D,"['DR', 'MC', 'DM']",,180.0,1999-12-08 00:00:00+00:00,Right,England,2032-06-30 00:00:00+00:00,63000000.0,EUR
58,866469,Bruno Guimarães,Arsenal,42,M,"['MC', 'DM']",,182.0,1997-11-16 00:00:00+00:00,Right,Brazil,2030-06-30 00:00:00+00:00,72000000.0,EUR
59,931278,Rayan Aït-Nouri,Manchester City,17,D,"['DL', 'ML']",70.0,179.0,2001-06-06 00:00:00+00:00,Left,Algeria,2030-06-30 00:00:00+00:00,39000000.0,EUR
60,980623,Nick Woltemade,Newcastle United,39,F,['ST'],,198.0,2002-02-14 00:00:00+00:00,Right,Germany,2031-06-30 00:00:00+00:00,59000000.0,EUR
61,1016907,Igor Thiago,Brentford,50,F,['ST'],88.0,191.0,2001-06-26 00:00:00+00:00,Right,Brazil,2031-06-30 00:00:00+00:00,68000000.0,EUR
62,941168,William Saliba,Arsenal,42,D,['DC'],,193.0,2001-03-24 00:00:00+00:00,Right,France,2030-06-30 00:00:00+00:00,94000000.0,EUR
63,997183,Xavi Simons,Tottenham Hotspur,33,M,"['AM', 'MC']",,179.0,2003-04-21 00:00:00+00:00,Right,Netherlands,2030-06-30 00:00:00+00:00,43000000.0,EUR
64,829932,Cristian Romero,Atlético Madrid,2836,D,['DC'],72.0,185.0,1998-04-27 00:00:00+00:00,Right,Argentina,2031-06-30 00:00:00+00:00,46000000.0,EUR
65,879349,Pedro Neto,Chelsea,38,M,"['RW', 'LW']",62.0,172.0,2000-03-09 00:00:00+00:00,Left,Portugal,2031-06-30 00:00:00+00:00,58000000.0,EUR
66,318941,Rúben Dias,Manchester City,17,D,['DC'],70.0,188.0,1997-05-14 00:00:00+00:00,Right,Portugal,2029-06-30 00:00:00+00:00,60000000.0,EUR
67,840217,Richarlison,Tottenham Hotspur,33,F,['ST'],83.0,184.0,1997-05-10 00:00:00+00:00,Right,Brazil,2027-06-30 00:00:00+00:00,24000000.0,EUR
68,966547,Noni Madueke,Arsenal,42,F,['RW'],,182.0,2002-03-10 00:00:00+00:00,Left,England,2030-06-30 00:00:00+00:00,54000000.0,EUR
69,893549,Tijjani Reijnders,Al-Qadsiah,56027,M,"['MC', 'DM', 'AM']",,185.0,1998-07-29 00:00:00+00:00,Right,Netherlands,,48000000.0,EUR
70,836694,Mason Mount,Manchester United,35,F,"['AM', 'MC']",,181.0,1999-01-10 00:00:00+00:00,Right,England,2028-06-30 00:00:00+00:00,23000000.0,EUR
71,1105779,Andrey Santos,Manchester United,35,M,"['MC', 'DM']",77.0,180.0,2004-05-03 00:00:00+00:00,Right,Brazil,2031-06-30 00:00:00+00:00,39000000.0,EUR
72,135666,Leandro Trossard,Beşiktaş JK,3050,F,['LW'],61.0,172.0,1994-12-04 00:00:00+00:00,Right,Belgium,2029-06-30 00:00:00+00:00,19300000.0,EUR
73,845286,Ismaïla Sarr,Crystal Palace,7,F,"['AM', 'RW']",70.0,185.0,1998-02-25 00:00:00+00:00,Right,Senegal,2029-06-30 00:00:00+00:00,43000000.0,EUR
74,845386,Federico Chiesa,Liverpool FC,44,F,"['ST', 'RW']",70.0,175.0,1997-10-25 00:00:00+00:00,Right,Italy,2028-06-30 00:00:00+00:00,11900000.0,EUR
75,592010,Mikel Merino,Arsenal,42,M,['MC'],79.0,188.0,1996-06-22 00:00:00+00:00,Left,Spain,2028-06-30 00:00:00+00:00,26000000.0,EUR
76,1002837,Piero Hincapié,Arsenal,42,D,"['DL', 'DC']",65.0,184.0,2002-01-09 00:00:00+00:00,Left,Ecuador,2031-06-30 00:00:00+00:00,46000000.0,EUR
77,877980,Wilson Isidor,Sunderland,41,F,"['ST', 'LW']",,184.0,2000-08-27 00:00:00+00:00,Right,Haiti,2028-06-30 00:00:00+00:00,18500000.0,EUR
78,192442,Raúl Jiménez,Wolverhampton,3,F,['ST'],81.0,189.0,1991-05-05 00:00:00+00:00,Right,Mexico,2028-06-30 00:00:00+00:00,3200000.0,EUR
79,1106451,Dango Ouattara,Brentford,50,M,"['RW', 'LW']",,177.0,2002-02-11 00:00:00+00:00,Left,Burkina Faso,2030-06-30 00:00:00+00:00,36000000.0,EUR
80,1881902,Rio Ngumoha,Liverpool FC,44,F,['LW'],,170.0,2008-08-29 00:00:00+00:00,Right,England,2028-06-30 00:00:00+00:00,29000000.0,EUR
81,948261,Morgan Rogers,Chelsea,38,M,"['AM', 'LW', 'RW']",,187.0,2002-07-26 00:00:00+00:00,Right,England,2033-06-30 00:00:00+00:00,105000000.0,EUR
82,845273,Jean-Ricner Bellegarde,Wolverhampton,3,M,"['MC', 'AM']",66.0,170.0,1998-06-27 00:00:00+00:00,Right,Haiti,2028-06-30 00:00:00+00:00,17600000.0,EUR
83,1199043,Carlos Baleba,Manchester United,35,M,"['MC', 'DM']",,179.0,2004-01-03 00:00:00+00:00,Left,Cameroon,2031-06-30 00:00:00+00:00,53000000.0,EUR
84,964753,Senne Lammens,Manchester United,35,G,['GK'],,193.0,2002-07-07 00:00:00+00:00,Right,Belgium,2030-06-30 00:00:00+00:00,38000000.0,EUR
85,581310,David Raya,Arsenal,42,G,['GK'],80.0,183.0,1995-09-15 00:00:00+00:00,Right,Spain,2028-06-30 00:00:00+00:00,33000000.0,EUR
86,844096,Jhon Arias,Palmeiras,1963,M,['RW'],,170.0,1997-09-21 00:00:00+00:00,Right,Colombia,2029-12-31 00:00:00+00:00,16100000.0,EUR
87,136710,Mateo Kovačić,Manchester City,17,M,"['MC', 'DM']",,178.0,1994-05-06 00:00:00+00:00,Right,Croatia,2027-06-30 00:00:00+00:00,9700000.0,EUR
88,218160,Bertrand Traoré,No team,241802,F,['RW'],72.0,180.0,1995-09-06 00:00:00+00:00,Left,Burkina Faso,,3800000.0,EUR
89,803031,Matthijs de Ligt,Manchester United,35,D,['DC'],89.0,188.0,1999-08-12 00:00:00+00:00,Right,Netherlands,2029-06-30 00:00:00+00:00,32000000.0,EUR
90,970361,Jeremie Frimpong,Liverpool FC,44,D,"['MR', 'DR']",,171.0,2000-12-10 00:00:00+00:00,Right,Netherlands,2030-06-30 00:00:00+00:00,36000000.0,EUR
91,904897,Ryan Gravenberch,Liverpool FC,44,M,"['MC', 'DM']",,190.0,2002-05-16 00:00:00+00:00,Right,Netherlands,2032-06-30 00:00:00+00:00,87000000.0,EUR
92,1397168,Patrick Dorgu,Manchester United,35,M,"['ML', 'DL']",,185.0,2004-10-26 00:00:00+00:00,Left,Denmark,2030-06-30 00:00:00+00:00,33000000.0,EUR
93,1142703,Nico O'Reilly,Manchester City,17,D,"['DL', 'MC']",,193.0,2005-03-21 00:00:00+00:00,Left,England,2030-06-30 00:00:00+00:00,76000000.0,EUR
94,1002711,Pape Matar Sarr,Tottenham Hotspur,33,M,"['MC', 'DM']",70.0,185.0,2002-09-14 00:00:00+00:00,Right,Senegal,2030-06-30 00:00:00+00:00,28000000.0,EUR
95,994546,Elliot Anderson,Manchester City,17,M,"['MC', 'DM']",,179.0,2002-11-06 00:00:00+00:00,Right,England,2031-06-30 00:00:00+00:00,100000000.0,EUR
96,149380,Harry Maguire,Manchester United,35,D,['DC'],79.0,194.0,1993-03-05 00:00:00+00:00,Right,England,2027-06-30 00:00:00+00:00,8600000.0,EUR
97,1917626,Max Dowman,Arsenal U21,36554,M,['MC'],,183.0,2009-12-31 00:00:00+00:00,Left,England,,31000000.0,EUR
98,966837,Martín Zubimendi,Arsenal,42,M,"['MC', 'DM']",74.0,180.0,1999-02-02 00:00:00+00:00,Right,Spain,2030-06-30 00:00:00+00:00,77000000.0,EUR
99,958959,Jurriën Timber,Arsenal,42,D,['DR'],,179.0,2001-06-17 00:00:00+00:00,Right,Netherlands,2028-06-30 00:00:00+00:00,73000000.0,EUR
100,877994,Marc Guéhi,Manchester City,17,D,"['DC', 'DL']",,182.0,2000-07-13 00:00:00+00:00,Right,England,2031-06-30 00:00:00+00:00,66000000.0,EUR
101,262911,Andy Robertson,Tottenham Hotspur,33,D,['DL'],64.0,178.0,1994-03-11 00:00:00+00:00,Left,Scotland,2030-06-30 00:00:00+00:00,7500000.0,EUR
102,957602,Riccardo Calafiori,Arsenal,42,D,"['DL', 'DC']",,188.0,2002-05-19 00:00:00+00:00,Left,Italy,2029-06-30 00:00:00+00:00,53000000.0,EUR
103,1414933,Marc Guiu,Chelsea,38,F,['ST'],,187.0,2006-01-04 00:00:00+00:00,Right,Spain,2029-06-30 00:00:00+00:00,11200000.0,EUR
104,1154657,Mamadou Sarr,Real Sociedad,2824,D,['DC'],,194.0,2005-08-29 00:00:00+00:00,Right,Senegal,2033-06-30 00:00:00+00:00,24000000.0,EUR
105,1097425,Miloš Kerkez,Liverpool FC,44,D,['DL'],,180.0,2003-11-07 00:00:00+00:00,Left,Hungary,2030-06-30 00:00:00+00:00,36000000.0,EUR
106,1401702,Ethan Nwaneri,Arsenal,42,M,['MC'],,176.0,2007-03-21 00:00:00+00:00,Left,England,2030-06-30 00:00:00+00:00,34000000.0,EUR
107,1009386,Hannibal Mejbri,Burnley,6,M,"['AM', 'MC']",,182.0,2003-01-21 00:00:00+00:00,Right,Tunisia,2028-06-30 00:00:00+00:00,15700000.0,EUR
108,917007,Joshua Zirkzee,Manchester United,35,F,['ST'],,193.0,2001-05-22 00:00:00+00:00,Right,Netherlands,2029-06-30 00:00:00+00:00,21000000.0,EUR
109,843200,Diogo Dalot,Manchester United,35,D,"['DR', 'ML', 'MR']",75.0,184.0,1999-03-18 00:00:00+00:00,Right,Portugal,2028-06-30 00:00:00+00:00,28000000.0,EUR
110,232422,Kepa Arrizabalaga,Arsenal,42,G,['GK'],84.0,188.0,1994-10-03 00:00:00+00:00,Right,Spain,2028-06-30 00:00:00+00:00,5300000.0,EUR
111,997087,Liam Delap,Nottingham Forest,14,F,['ST'],,186.0,2003-02-08 00:00:00+00:00,Right,England,2031-06-30 00:00:00+00:00,26000000.0,EUR
112,871706,Randal Kolo Muani,Juventus,2687,F,['ST'],73.0,187.0,1998-12-05 00:00:00+00:00,Right,France,2031-06-30 00:00:00+00:00,18200000.0,EUR
113,152077,John Stones,Inter,2697,D,['DC'],70.0,188.0,1994-05-28 00:00:00+00:00,Right,England,2028-06-30 00:00:00+00:00,10900000.0,EUR
114,1140599,Jamie Gittens,Chelsea,38,M,['LW'],,178.0,2004-08-08 00:00:00+00:00,Right,England,2032-06-30 00:00:00+00:00,29000000.0,EUR
115,331737,Youri Tielemans,Manchester United,35,M,"['MC', 'DM']",75.0,177.0,1997-05-07 00:00:00+00:00,Right,Belgium,2031-06-30 00:00:00+00:00,43000000.0,EUR
116,877102,Nayef Aguerd,Olympique de Marseille,1641,D,['DC'],,188.0,1996-03-30 00:00:00+00:00,Left,Morocco,2030-06-30 00:00:00+00:00,15900000.0,EUR
117,44614,Kyle Walker,Burnley,6,D,['DR'],70.0,183.0,1990-05-28 00:00:00+00:00,Right,England,2027-06-30 00:00:00+00:00,1400000.0,EUR
118,980643,James Trafford,Leeds United,34,G,['GK'],,197.0,2002-10-10 00:00:00+00:00,Right,England,,27000000.0,EUR
