playerName,playerId,teamName,teamId,primaryPosition,positionGroup,minutesPlayed,averageBallPossession,totalShots,inaccuratePasses,dispossessed,unsuccessfulDribbles,keyPasses,assists,expectedAssists,goals,expectedGoals,marketValue,PEA,PEA/90,total_sca,direct_sca,secondary_sca,direct_pass_sca,direct_balltouch_sca,direct_foul_sca,direct_takeon_sca,direct_cornerawarded_sca,direct_savedshot_sca,direct_shotonpost_sca,direct_goodskill_sca,secondary_pass_sca,secondary_balltouch_sca,secondary_foul_sca,secondary_takeon_sca,secondary_cornerawarded_sca,secondary_savedshot_sca,secondary_shotonpost_sca,secondary_goodskill_sca,SCA/90,adjPEA/90,adjSCA/90,usageRate,attackingInvolvement,teamTotalPEA,teamTotalSCA,RCE
Bruno Fernandes,288205,Manchester United,35,AM,Midfielder,3066,51.79,85,355,30,21,137,21,12.32,9,10.83,32000000.0,491,14.41,201,129.0,72.0,125.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,69.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.9,13.91,5.7,0.131,0.241,3756,834,1.84
Declan Rice,856714,Arsenal,42,MC,Midfielder,3099,56.13,40,271,18,14,64,5,6.96,4,3.17,114000000.0,343,9.96,97,57.0,40.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.82,8.87,2.51,0.095,0.13,3614,747,1.368
Bruno Guimarães,866469,Newcastle United,39,MC,Midfielder,2455,52.61,42,201,46,30,46,5,4.98,9,5.6,72000000.0,319,11.69,79,48.0,31.0,43.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,28.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.9,11.11,2.76,0.088,0.121,3629,655,1.375
Rodri,827606,Manchester City,17,DM,Midfielder,1513,60.5,16,160,11,8,25,0,2.59,1,1.13,50000000.0,195,11.6,43,28.0,15.0,25.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,9.59,2.12,0.047,0.047,4135,916,1.0
Jérémy Doku,934386,Manchester City,17,LW,Winger,1784,60.5,39,132,49,64,60,5,6.18,5,2.75,70000000.0,284,14.33,110,73.0,37.0,56.0,1.0,3.0,11.0,1.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.55,11.84,4.59,0.069,0.12,4135,916,1.739
Elliot Anderson,994546,Nottingham Forest,14,MC,Midfielder,3334,46.76,44,345,62,42,55,4,4.79,4,2.9,100000000.0,493,13.31,113,57.0,56.0,50.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.05,14.23,3.26,0.143,0.198,3445,570,1.385
Granit Xhaka,117777,Sunderland,41,MC,Midfielder,2903,44.84,21,295,17,13,34,6,3.71,1,1.02,8500000.0,346,10.73,73,32.0,41.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.26,11.96,2.52,0.104,0.157,3339,465,1.51
Erling Haaland,839956,Manchester City,17,ST,Striker,2958,60.5,126,132,23,15,25,8,2.85,27,25.43,240000000.0,296,9.01,47,30.0,17.0,20.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,1.43,7.45,1.18,0.072,0.051,4135,916,0.708
Marc Guéhi,877994,Manchester City,17,DC,Centerback,3150,60.5,32,239,18,4,18,3,2.32,3,4.12,66000000.0,293,8.37,39,19.0,20.0,16.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,6.92,0.92,0.071,0.043,4135,916,0.606
Gabriel Magalhães,869792,Arsenal,42,DC,Centerback,2751,56.13,27,205,4,1,7,4,1.82,3,2.93,70000000.0,237,7.75,18,8.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,6.9,0.53,0.066,0.024,3614,747,0.364
Virgil van Dijk,151545,Liverpool FC,44,DC,Centerback,3420,59.21,30,307,1,0,12,0,1.35,6,3.77,15500000.0,338,8.89,33,10.0,23.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.87,7.51,0.73,0.089,0.038,3807,878,0.427
Marcos Senesi,830659,Bournemouth,60,DC,Centerback,3290,50.18,17,518,14,3,24,5,4.67,0,1.52,23000000.0,552,15.1,53,24.0,29.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.45,15.05,1.44,0.148,0.086,3742,614,0.581
Jan Paul van Hecke,962012,Brighton & Hove Albion,30,DC,Centerback,3211,54.08,23,323,6,2,13,3,1.62,3,3.3,65000000.0,354,9.92,31,13.0,18.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,9.17,0.8,0.096,0.046,3682,680,0.479
Bukayo Saka,934235,Arsenal,42,RW,Winger,2225,56.13,71,180,32,51,63,5,7.16,7,7.55,115000000.0,334,13.51,93,62.0,31.0,57.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.76,12.03,3.35,0.092,0.124,3614,747,1.348
Jack Grealish,189061,Everton,48,LW,Winger,1631,43.63,26,91,30,34,40,6,3.57,2,2.15,21000000.0,181,9.99,64,43.0,21.0,37.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.53,11.45,4.05,0.052,0.111,3490,575,2.135
James Garner,927361,Everton,48,MC,Midfielder,3414,43.63,45,229,15,16,56,7,5.95,2,2.03,48000000.0,305,8.04,86,58.0,28.0,56.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.27,9.21,2.6,0.087,0.15,3490,575,1.724
Casemiro,122951,Manchester United,35,MC,Midfielder,2593,51.79,52,299,13,10,36,2,3.12,9,5.52,5500000.0,374,12.98,62,35.0,27.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.15,12.53,2.08,0.1,0.074,3756,834,0.74
Rayan Cherki,979128,Manchester City,17,AM,Midfielder,1794,60.5,55,173,34,55,61,12,8.65,4,4.13,98000000.0,317,15.9,93,61.0,32.0,55.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.67,13.14,3.86,0.077,0.102,4135,916,1.325
Youri Tielemans,331737,Aston Villa,40,MC,Midfielder,1862,53.55,24,170,13,8,32,4,3.33,0,1.17,43000000.0,215,10.39,50,26.0,24.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.42,9.7,2.26,0.065,0.075,3295,667,1.154
Mateus Fernandes,1142562,West Ham United,37,MC,Midfielder,3024,42.53,28,196,32,20,37,4,2.97,3,2.0,49000000.0,276,8.21,66,40.0,26.0,36.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.96,9.65,2.3,0.08,0.132,3447,499,1.65
Reece James,885908,Chelsea,38,DR,Fullback,1961,57.74,22,146,13,11,27,4,3.19,2,1.04,63000000.0,192,8.81,43,25.0,18.0,22.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,7.63,1.71,0.059,0.062,3277,697,1.051
Rúben Dias,318941,Manchester City,17,DC,Centerback,2149,60.5,10,123,3,3,7,0,0.64,2,0.56,60000000.0,139,5.82,13,5.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,4.81,0.45,0.034,0.014,4135,916,0.412
