playerName,playerId,teamName,teamId,primaryPosition,positionGroup,minutesPlayed,averageBallPossession,totalShots,inaccuratePasses,dispossessed,unsuccessfulDribbles,keyPasses,assists,expectedAssists,goals,expectedGoals,marketValue,PEA,PEA/90,CC,CC/90,adjPEA/90,adjCC/90,totalPEA_x,totalCC_x,usageRate,chanceInvolvement,totalPEA_y,totalCC_y,totalPEA,totalCC,RCE
Bruno Fernandes,288205,Manchester United,35,AM,Midfielder,3066,51.79,85,355,30,21,137,21,12.32,9,10.83,32000000.0,491,14.41,158,4.64,13.91,4.48,3756,501,0.131,0.315,3756,501,3756,501,2.405
Declan Rice,856714,Arsenal,42,MC,Midfielder,3099,56.13,40,271,18,14,64,5,6.96,4,3.17,114000000.0,343,9.96,69,2.0,8.87,1.78,3614,458,0.095,0.151,3614,458,3614,458,1.589
Bruno Guimarães,866469,Newcastle United,39,MC,Midfielder,2455,52.61,42,201,46,30,46,5,4.98,9,5.6,72000000.0,319,11.69,51,1.87,11.11,1.78,3629,388,0.088,0.131,3629,388,3629,388,1.489
Rodri,827606,Manchester City,17,DM,Midfielder,1513,60.5,16,160,11,8,25,0,2.59,1,1.13,50000000.0,195,11.6,25,1.49,9.59,1.23,4135,545,0.047,0.046,4135,545,4135,545,0.979
Jérémy Doku,934386,Manchester City,17,LW,Winger,1784,60.5,39,132,49,64,60,5,6.18,5,2.75,70000000.0,284,14.33,65,3.28,11.84,2.71,4135,545,0.069,0.119,4135,545,4135,545,1.725
Elliot Anderson,994546,Nottingham Forest,14,MC,Midfielder,3334,46.76,44,345,62,42,55,4,4.79,4,2.9,100000000.0,493,13.31,59,1.59,14.23,1.7,3445,378,0.143,0.156,3445,378,3445,378,1.091
Granit Xhaka,117777,Sunderland,41,MC,Midfielder,2903,44.84,21,295,17,13,34,6,3.71,1,1.02,8500000.0,346,10.73,40,1.24,11.96,1.38,3339,292,0.104,0.137,3339,292,3339,292,1.317
Erling Haaland,839956,Manchester City,17,ST,Striker,2958,60.5,126,132,23,15,25,8,2.85,27,25.43,240000000.0,296,9.01,33,1.0,7.45,0.83,4135,545,0.072,0.061,4135,545,4135,545,0.847
Marc Guéhi,877994,Manchester City,17,DC,Centerback,3150,60.5,32,239,18,4,18,3,2.32,3,4.12,66000000.0,293,8.37,21,0.6,6.92,0.5,4135,545,0.071,0.039,4135,545,4135,545,0.549
Gabriel Magalhães,869792,Arsenal,42,DC,Centerback,2751,56.13,27,205,4,1,7,4,1.82,3,2.93,70000000.0,237,7.75,11,0.36,6.9,0.32,3614,458,0.066,0.024,3614,458,3614,458,0.364
