,teamName,teamId,goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,kilometersCovered,numberOfSprints,id,matches,awardedMatches,statisticsType
0,Arsenal,42,71,27,1,51,553,4,4,0,8,57,10,405,148,16,15,36,116,84,78,187,201,165,272,569,216,16,39,4,35,56.131578947368,17897,15076,84.237581717606,7598,6980,91.866280600158,10299,8096,78.609573745024,1122,499,44.474153297683,677,163,24.076809453471,19,602,269,62,5,22,0,0,903,3,12,3638,1875,51.53930731171,2460,1272,51.707317073171,1178,603,51.188455008489,4747,61,391,51,0,0,6.9371080139373,2256,4973,6148,11121,51,29,35,1153,126,90,499,480,208,12,34,12,308,223,766,2014,25,2,310,107,197,113,113,90,107,615,3483,6985,6955,13940,71,652,213,1711,409,3974.09,6363,48428,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
1,Leeds United,34,49,56,1,24,478,6,8,3,10,41,7,326,152,6,9,32,89,61,57,151,190,137,214,504,168,13,35,3,31,45.736842105263,15039,11935,79.360329809163,7481,6724,89.881031947601,7558,5211,68.946811325748,1134,523,46.119929453263,683,181,26.500732064422,8,661,340,101,3,15,6,6,1158,7,6,4045,1992,49.245982694685,2537,1275,50.256208119827,1508,717,47.546419098143,5174,60,398,63,1,1,6.7814946619217,3543,7367,7534,14901,77,61,47,1126,193,194,769,612,287,8,27,10,252,347,801,1947,81,1,477,142,326,151,173,163,141,608,4992,9646,8351,17997,67,698,293,1710,415,4047.21,6910,48669,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
2,Brighton & Hove Albion,30,52,46,4,33,495,3,5,1,15,45,6,329,166,8,13,30,88,64,56,176,187,132,267,581,185,13,23,1,22,54.078947368421,18128,15213,83.919902912621,9196,8475,92.159634623749,8932,6738,75.436632333184,1222,577,47.21767594108,716,192,26.815642458101,10,676,322,106,12,24,6,5,895,4,6,3826,1871,48.902247778359,2715,1307,48.139963167587,1111,564,50.765076507651,4943,64,453,86,0,0,6.8114922813036,2791,5711,6706,12417,77,60,48,977,183,133,585,657,340,15,20,11,341,329,864,2060,56,1,442,110,310,132,184,148,110,639,4095,7856,7576,15432,77,634,298,1854,371,3968.48,7135,48175,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
3,Brentford,50,55,52,3,33,405,8,10,0,10,51,2,306,99,12,13,28,114,87,69,147,162,96,246,595,182,16,58,9,50,47.605263157895,15024,11901,79.213258785942,7456,6732,90.289699570815,7568,5169,68.300739957717,1478,630,42.625169147497,683,183,26.793557833089,10,554,331,111,10,19,8,5,1111,6,5,3870,1868,48.268733850129,2411,1129,46.827042720863,1459,739,50.651130911583,5218,58,390,69,0,1,6.8071167883212,3654,7130,6453,13583,85,61,55,1233,204,149,732,525,271,4,23,15,279,364,827,1969,37,1,505,165,321,184,177,163,165,648,5100,9403,7260,16663,73,707,300,1923,339,4014.55,7153,48370,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
4,Sunderland,41,42,48,2,26,396,4,5,0,7,34,4,281,115,7,7,24,64,47,42,130,151,115,205,462,138,11,27,3,24,44.842105263158,14252,11305,79.322200392927,6603,5914,89.56534908375,7649,5391,70.479801281213,1239,545,43.987086359968,612,116,18.954248366013,11,585,299,119,10,28,3,2,1159,4,8,3667,1837,50.095445868557,2324,1177,50.645438898451,1343,660,49.143708116158,4844,55,407,82,0,3,6.7803703703704,3975,7728,6953,14681,81,63,51,1101,195,193,816,537,232,6,23,18,264,389,818,1936,44,2,540,166,348,192,205,169,166,531,5326,9840,7724,17564,73,664,302,1698,409,3861.18,6243,48173,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
5,Bournemouth,60,58,54,3,35,524,5,6,2,21,45,12,312,212,5,22,30,89,60,54,177,196,151,295,641,212,18,47,9,41,50.184210526316,15727,12595,80.085203789661,6734,6031,89.56043956044,8993,6564,72.990103413766,1559,615,39.448364336113,731,133,18.194254445964,11,654,366,109,3,18,6,6,1173,4,12,4060,1956,48.177339901478,2705,1324,48.946395563771,1355,632,46.642066420664,5269,73,457,88,0,2,6.8097902097902,3191,6036,6434,12470,76,56,52,1175,201,166,667,635,284,15,27,17,250,345,867,2030,45,4,480,161,338,142,157,162,161,661,4799,8460,7275,15735,69,721,298,1967,384,3771.95,7646,48103,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
6,Aston Villa,40,56,49,1,40,483,0,0,2,15,38,15,305,178,8,14,31,87,64,61,170,172,141,238,554,199,15,35,4,32,53.552631578947,17130,14614,85.312317571512,8426,7729,91.727984808925,8704,6885,79.1015625,1041,547,52.54562920269,604,135,22.350993377483,9,587,238,114,14,27,2,1,798,7,3,3508,1739,49.572405929304,2591,1280,49.401775376303,917,459,50.054525627045,4491,42,379,58,0,1,6.8137288135593,3009,6151,6190,12341,91,65,58,889,187,151,677,520,243,7,22,10,365,354,730,1628,110,2,490,150,323,167,173,167,150,702,4189,7961,6776,14737,90,604,310,1663,473,3799.37,6342,48146,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
7,Nottingham Forest,14,48,51,3,34,476,3,3,1,13,41,6,296,180,10,9,28,69,53,39,156,168,152,279,590,198,7,40,4,36,46.763157894737,15520,12739,82.08118556701,7024,6300,89.692482915718,8496,6439,75.788606403013,1322,620,46.898638426626,829,176,21.230398069964,9,644,302,109,10,29,6,5,973,5,10,3787,1876,49.537892791128,2636,1333,50.56904400607,1151,543,47.176368375326,4954,61,407,60,0,1,6.8064516129032,3774,7283,7662,14945,94,67,64,959,183,172,695,614,290,5,23,16,331,385,793,1854,35,1,506,167,334,172,178,163,165,635,5181,9472,8363,17835,67,684,311,1803,423,3907.13,6169,48369,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
8,Wolverhampton,3,27,68,4,18,370,3,5,0,19,20,6,238,132,5,4,17,54,41,36,123,154,93,257,532,129,14,21,3,19,42.815789473684,13821,10982,79.458794587946,6754,5970,88.392063962097,7067,5012,70.921182963068,1172,517,44.112627986348,698,198,28.36676217765,4,724,324,111,15,26,5,5,1100,4,12,3951,1948,49.30397367755,2744,1377,50.18221574344,1207,571,47.307373653687,4852,53,494,78,1,3,6.6769503546099,4129,8488,7589,16077,104,87,60,911,225,201,794,631,281,3,18,19,334,408,844,1764,51,3,529,145,350,179,205,179,145,615,5552,10600,8261,18861,63,700,319,1754,403,3994.3,6370,48283,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
9,Manchester City,17,77,35,0,57,594,3,4,0,13,66,8,429,165,9,39,26,120,94,74,205,215,174,409,824,244,18,42,9,33,60.5,22342,19776,88.514904663862,9149,8440,92.250519182424,13193,11336,85.924353823998,1128,596,52.836879432624,619,166,26.817447495961,16,547,302,92,6,25,2,1,820,3,9,3556,1857,52.221597300337,2702,1366,50.555144337528,854,491,57.494145199063,4539,44,368,67,0,0,7.0110307414105,2205,4576,7018,11594,78,54,56,895,145,116,496,447,193,12,27,14,336,250,816,1915,111,2,369,106,264,105,136,127,106,790,3390,6498,7815,14313,78,658,217,1753,413,4016.14,6794,48284,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
10,Fulham,43,47,51,3,26,484,5,5,1,13,33,10,326,158,8,20,15,61,41,37,140,187,157,231,486,187,10,28,2,25,51.710526315789,18017,15116,83.898540267525,9307,8442,90.705920275062,8710,6674,76.62456946039,1343,653,48.622486969471,692,175,25.28901734104,9,650,326,98,8,23,4,3,1010,4,11,3478,1784,51.293847038528,2380,1233,51.806722689076,1098,551,50.182149362477,4739,65,415,75,0,1,6.7989830508475,3225,6518,7588,14106,100,78,69,876,210,133,651,510,217,6,24,16,317,340,855,1940,99,4,448,129,310,138,171,149,128,548,4614,8645,8184,16829,63,726,321,1726,361,4122.9,8274,48176,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
11,West Ham United,37,46,65,3,31,404,3,3,0,5,36,8,296,108,11,14,18,72,51,46,142,146,116,264,547,187,9,48,7,43,42.526315789474,13978,11016,78.809557876663,6292,5595,88.922441195168,7686,5421,70.530835284934,1281,559,43.637782982045,638,140,21.943573667712,7,671,347,132,8,18,7,6,1102,8,4,3743,1886,50.387389794283,2566,1315,51.247077162899,1177,571,48.513169073917,4883,66,421,69,1,3,6.7681481481481,4200,8538,7776,16314,96,65,57,873,231,204,880,568,246,8,25,19,267,410,751,1631,43,0,566,164,390,176,207,195,164,615,5635,10672,8492,19164,75,687,330,1731,385,3783.13,6279,48174,38,0,"{'sportSlug': 'football', 'statisticsType': 'team'}"
